Calculated by The Downballot,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,2024,,,,,,,2020,,,,,
,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
NC-04,Valerie Foushee,(D),"312,671","115,458","435,313",71.83%,26.52%,45.30%,,"303,300","109,913","418,781",72.42%,26.25%,46.18%
NC-05,Virginia Foxx,(R),"165,367","237,737","407,131",40.62%,58.39%,-17.78%,,"167,159","228,749","400,206",41.77%,57.16%,-15.39%
NC-06,Addison McDowell,(R),"159,318","226,306","390,326",40.82%,57.98%,-17.16%,,"157,028","218,931","380,748",41.24%,57.50%,-16.26%
NC-07,David Rouzer,(R),"188,984","250,257","443,261",42.63%,56.46%,-13.82%,,"182,079","227,837","415,038",43.87%,54.90%,-11.03%
NC-08,Mark Harris,(R),"162,688","241,935","408,938",39.78%,59.16%,-19.38%,,"160,797","231,207","396,368",40.57%,58.33%,-17.76%
NC-09,Richard Hudson,(R),"158,667","219,161","381,829",41.55%,57.40%,-15.84%,,"157,590","209,219","371,496",42.42%,56.32%,-13.90%
NC-10,Pat Harrigan,(R),"168,721","242,317","415,176",40.64%,58.36%,-17.73%,,"164,107","227,817","396,712",41.37%,57.43%,-16.06%
NC-11,Chuck Edwards,(R),"196,320","238,092","439,574",44.66%,54.16%,-9.50%,,"189,675","237,262","432,661",43.84%,54.84%,-11.00%
NC-12,Alma Adams,(D),"254,841","91,752","352,991",72.19%,25.99%,46.20%,,"262,552","85,335","352,999",74.38%,24.17%,50.20%
NC-13,Brad Knott,(R),"175,125","245,091","424,917",41.21%,57.68%,-16.47%,,"158,090","225,142","388,665",40.68%,57.93%,-17.25%
NC-14,Tim Moore,(R),"170,950","232,364","407,378",41.96%,57.04%,-15.08%,,"163,279","227,014","394,744",41.36%,57.51%,-16.15%
ND-AL,Julie Fedorchak,(R),"112,327","246,505","365,059",30.77%,67.52%,-36.76%,,"114,902","235,595","359,890",31.93%,65.46%,-33.54%
NE-01,Mike Flood,(R),"136,153","177,666","318,304",42.77%,55.82%,-13.04%,,"136,956","171,957","316,440",43.28%,54.34%,-11.06%
NE-02,Don Bacon,(R),"163,541","148,905","316,690",51.64%,47.02%,4.62%,,"163,239","143,429","312,940",52.16%,45.83%,6.33%
NE-03,Adrian Smith,(R),"70,301","238,245","312,165",22.52%,76.32%,-53.80%,,"74,388","241,459","322,332",23.08%,74.91%,-51.83%
NH-01,Chris Pappas,(D),"208,186","199,942","411,957",50.54%,48.53%,2.01%,,"210,310","186,410","403,198",52.16%,46.23%,5.93%
NH-02,Maggie Goodlander,(D),"210,302","195,581","410,159",51.27%,47.68%,3.59%,,"214,627","179,250","400,635",53.57%,44.74%,8.83%
NJ-01,Donald Norcross,(D),"220,600","150,098","376,377",58.61%,39.88%,18.73%,,"247,693","149,375","402,495",61.54%,37.11%,24.43%
NJ-02,Jeff Van Drew,(R),"166,360","214,917","386,844",43.00%,55.56%,-12.55%,,"192,481","212,664","410,535",46.89%,51.80%,-4.92%
NJ-03,Herb Conaway,(D),"212,712","179,400","398,668",53.36%,45.00%,8.36%,,"248,284","186,603","440,666",56.34%,42.35%,14.00%
NJ-04,Chris Smith,(R),"142,650","268,072","416,430",34.26%,64.37%,-30.12%,,"163,106","259,059","427,724",38.13%,60.57%,-22.43%
NJ-05,Josh Gottheimer,(D),"200,624","194,528","402,838",49.80%,48.29%,1.51%,,"240,209","186,611","432,269",55.57%,43.17%,12.40%
NJ-06,Frank Pallone,(D),"167,151","146,484","321,741",51.95%,45.53%,6.42%,,"197,825","133,268","335,439",58.98%,39.73%,19.25%
NJ-07,Tom Kean,(R),"216,349","221,591","446,499",48.45%,49.63%,-1.17%,,"235,951","218,151","461,600",51.12%,47.26%,3.86%
NJ-08,Rob Menendez,(D),"135,328","81,523","222,455",60.83%,36.65%,24.19%,,"173,894","64,633","241,039",72.14%,26.81%,45.33%
